"Saya makan di sini dengan menggunakan voucher disdus. Paket nasi ayam kari, dengan diskon hingga 30 persen. Akibatnya para pengunjung mengantri untuk meredeem voucher. Cilakanya cek voucher masih dilakukan secara manual. Tidak ada masalah untuk makanannya, hanya saja antrian terlalu lama. Voucher sendiri sudah dibeli jadi mau tidak mau para pengunjung mengantri"	negative
Mas indosat buat main game enemy has been slain susah bener mas tolong sinyalnya diperbaiki mas soalnya lelet nggak lelet kuotanya kesedot terus..	negative
"Trus sy percuma dong update no hp terbaru ke cs cab bni kalo data di bni masih no hp lama, gimana sih pelayanannya!"	negative
jika kita pilih dia maka akan ada lebih dari 300 kampung itu akan digusur.	negative
"Dikarenakan adik saya suka dengan restoran ini, saya akhirnya mampir ke sini. Dari awal sih saya langsung tidak sreg sih. Makanan yang disediakan terlihat seperti yang tidak terlalu membangkitkan selera. Berbeda dengan restoran shabu yang biasa saya kunjungi. Dan setelah saya memilih dan mulai memasaknya, ternyata benar, rasanya pun tak masuk di lidah. Akhirnya banyak makanan yang tidak dimakan."	negative
"Biasa2 saja g ada yg special, ayam gorengnya terlalu berminyak, makanan smua dingin cuma nasi nya yang panas, Harganya normal."	negative
"Beberapa kali saya coba makan malam di sini. Pelayanannya sangat buruk, kurang responsif kepada pengunjung. Terakhir saya datang, saya harus mendatangi kasir untuk meminta menu. Terakhir saya coba makan pempek di sini, tidak seperti dari asalnya, rasanya kurang enak dan tidak disediakan sambal. Sangat tidak memuaskan"	negative
"Banyak pilihan makanan yang ada disini. Tempatnya pun bersih. Sangat disayangkan pelayanannya kurang baik. Pesan tahu gejrot saja lama sekali, ternyata pelayannya lupa."	negative
"The Kiosk Braga salah satu alternatif tempat makan siang bagi saya dan rekan kerja saya, sebelum direnovasi menjadi konsep the lost (sensasi makan di dalam gua), the kiosk cukup recommended, namun akhir akhir ini, pelayanannya sangat buruk, sering lama, bahkan bisa hampir satu jam, pesan makanan jam 12.05, datangnya 12.55, untuk harga sich standarlah, nggak bisa dibilang murah juga karena."	negative
"Berbekal referensi dari internet, kami penggemar steak ingin mencari alternatif tempat yg belum kami datangi, salah satunya abuba.Kami pesan Tenderlorin dan T bone dengan pembakaran cukup matang.Sesudah menunggu lama, krn resto sdg penuh di akhir pekan.Pesanan kami jauh dari yg kami bayangkan, Steak yg gosong dan keras, dan satu lg steak msh merah cenderung mentah, dengan penyajian asal2 an, steaknya."	negative
"Saya adalah penggemar steak namun ketika saya makan di abuba, ternyata rasanya jauh dari yg pernah dibayangkan bahkan sauce-nya sangat tidak enak seperti sauce ABC biasa (katanya barbeque) kemudian tidak ada lagi pilihan sauce yg lain.!!! Tak mau lagi kesini"	negative
"Yang ada cuma kebun selada ajah, udah diganti selada. Pas dateng lumayan sepi. Masih mending d rumah stroberi kalo mw ketik stroberi."	negative
"Bersama keluarga serta anak singgah di sini untuk berlibur & memetik strawberry, ternyata tidak sesuai harapan, buah idaman anak-anak ternyata tidak ada yang masak setelah kami menebus tiket dengan harga yang cukup mahal. Kecewa dan merasa tertipu, padahal kasir mengatakan buah strawberry ada di bagian atas, lelah mendaki dan hasilnya nol, hanya mendapat lelah."	negative
"Saya datang bersama keluarga tanggal 5 nopember 2015. Hari Kamis siang,, suasana agak sepi termasuk penjaga atau pelayan nya pun tidak ada ditempat,, kami memesan makanan setelah berteriak mencari pelayannya,,makanannya sangat-sangat standar,, padahal disini termasuk rekomendasi dari tripadvisor. Suasana restonya juga kotor sekali terlihat dari sarang laba2 di tempat lampu,, meja yang berdebu,, sayang sekali tempat besar tapi tidak dikelola."	negative
"Untuk rasa biasa saja tidak membuat saya terkesan, dengan harga 33rb untuk mie ayam dan segelas lemon tea katanya tapi yg disajikan bukan lemon tea malah jeruk nipis tea dengan ukuran gelas kecil terasa kurang menggigit dilidah, utk pelayan perlu dilatih utk melayani customer dengan sepenuh hati bukan lips service saja"	negative
"Nampak dari Luar, XO-suki nampak seperti resto yg berkelas. namun saat memilih makanan (shabu2), mulai nampak nampan yg digunakan sudah kotor dan banyak yg pecah. saat mangkok sumpit dan sendok dibagikan, kita wajib memeriksa satu persatu. mulai jelas resto ini mencuci peralatan makan'nya sangat asal2an. bekas makanan masih menempel basah dan warna sumpit yg sudah kotor tidak diperhatikan.!!"	negative
"Makanan ok sama spt xo suki lainnya. Tp walaupun hr libur besar spt lebaran ini bukan berarti senyumnya libur dan order minum, dll hrs order berkali-kali. Tlg di jaga kepuasan pelanggannya. Trims."	negative
"Rasa bumbu nasi gorengnya tidak se-enak dulu lagi, terkesan hambar dan lebih asin. Perlu ada quality control rasa agar kualitas tetap terjaga."	negative
"Sudah makan di sini kemarin, pesan menu beef steak. Dari lokasi, cukup nyaman. Untuk menu, tampaknya masih perlu peningkatan rasa karena hidangannya masih belum memenuhi pesanan. Orange squash nya kurang nendang soda-nya."	negative
